GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GauchoRide,edu.ucsb.cs156.gauchoride.errors,EntityNotFoundException,0,17,0,0,0,3,0,1,0,1
GauchoRide,edu.ucsb.cs156.gauchoride.controllers,ApiController,0,24,0,0,0,7,0,5,0,5
GauchoRide,edu.ucsb.cs156.gauchoride.controllers,UserInfoController,0,6,0,0,0,2,0,2,0,2
GauchoRide,edu.ucsb.cs156.gauchoride.controllers,UsersController,0,141,0,4,0,21,0,12,0,10
GauchoRide,edu.ucsb.cs156.gauchoride.controllers,CSRFController,0,5,0,0,0,2,0,2,0,2
GauchoRide,edu.ucsb.cs156.gauchoride.controllers,SystemInfoController,0,7,0,0,0,2,0,2,0,2
GauchoRide,edu.ucsb.cs156.gauchoride.services,CurrentUserService,0,10,0,2,0,2,0,3,0,2
GauchoRide,edu.ucsb.cs156.gauchoride.services,SystemInfoService,0,3,0,0,0,1,0,1,0,1
GauchoRide,edu.ucsb.cs156.gauchoride.services,GrantedAuthoritiesService,0,21,0,0,0,7,0,3,0,3
GauchoRide,edu.ucsb.cs156.gauchoride.services,SystemInfoServiceImpl,0,24,0,0,0,8,0,3,0,3
